Tokenizer,Family,qwen3 1.7B,,,,,,,,,,,,qwen2.5 1.5B,,,,,,,,,,,
,,MMMU,MMBench,VQAv2,ScienceQA,ChartQA,DocVQA,TextVQA,POPE,GQA,COCO,Flickr,Avg,MMMU,MMBench,VQAv2,ScienceQA,ChartQA,DocVQA,TextVQA,POPE,GQA,COCO,Flickr,Avg
mc2_s16_224,continuous,32,56.76,52.19,63.4,10.7,10.07,16.93,71.01,46.34,51.9,26.22,39.77,34.7,56.76,54.27,59.7,10.9,10.2,17.68,76.9,48.78,54.06,27.61,41.05
vilau_256,discrete,31.5,48.26,52.16,65.6,11.1,7.69,11.45,83.84,45.02,52.16,25.14,39.45,,,,,,,,,,,,
mc2_s16_224_mt5,continuous,32.6,49.03,51.02,63.9,11,9.42,15.76,73.85,44.21,52.35,27.17,39.12,33.7,58.69,55.07,61.1,10.8,9.48,16.9,73.82,46.95,58.74,29.61,41.35
toklip_s_256,discrete,31.4,53.28,52.43,64.9,10.9,7.55,11.53,85.97,45.93,41.63,23.75,39.02,,,,,,,,,,,,
mc2_m16_224,continuous,32.1,49.81,53.08,65,11.2,8.13,15.68,78.56,45.73,43.42,23.7,38.76,34.6,58.3,58.03,64.2,10.7,10.65,19.66,79.69,46.65,62.7,31.53,43.34
mc1_b32_224_2.5b,continuous,31.6,49.81,47.85,65.4,10.6,8.3,13.91,78.2,41.87,50.28,24.93,38.43,34.7,50.58,49.24,62.9,11,7.82,10.79,75.34,45.93,54.87,26.24,39.04
mc2_b32_224,continuous,34.4,46.72,49.04,64,11,8.33,13.17,83.28,43.39,46.02,21.34,38.24,33.7,56.37,55.5,62.1,11.3,9.05,16.19,70.12,47.76,61.08,31.7,41.35
toklip_l_384,discrete,33.1,46.72,48.94,61.7,11.5,7.93,11.68,80.29,44.41,50.09,24.14,38.23,,,,,,,,,,,,
I-JEPA,continuous,30.8,41.7,47.08,47.08,10.8,8.01,8.91,82.99,42.68,46.11,19.83,36.56,,,,,,,,,,,,
mc2_b32_224_mt5,continuous,31.7,37.84,45.29,64,10.5,8.26,9.6,72.11,38.41,47.49,24.06,35.39,33.5,55.21,55.88,60.5,10.6,9.83,14.5,73.32,49.39,61.65,33.48,41.62
mc1_b32_224_400m,continuous,33.6,39.38,45.84,63.4,10.6,6.83,10.46,74.31,39.53,38.13,19.49,34.69,34.7,49.03,47.62,62.7,10.2,7.79,10.95,71.55,43.29,49.98,26.1,37.63
raev2,continuous,30.4,40.15,44.83,60.2,10,8.5,10.64,67.14,39.74,38.55,18.58,33.52,,,,,,,,,,,,
siglip2_l16_512,continuous,31.9,50.58,50.16,62.1,10.3,7.88,12.06,79.03,43.29,52.14,31.6,39.19,35,64.09,66.63,67.1,13.2,25.07,45.45,91.39,55.08,80.59,55.53,54.47
siglip2_sm14_224,continuous,33.2,61.78,64.7,65.8,12.9,14.88,36.69,90.04,53.25,65.91,41.12,49.12,35.7,66.02,66.87,66.4,12.7,15.73,37.55,89.41,52.24,84.1,56.51,53.02
siglip2_sm16_384,continuous,33.2,62.55,64.76,67.5,13.1,23.48,47.77,86.59,54.07,70.64,45.61,51.75,37.1,64.48,66.25,64,12.9,22.49,45.26,91.58,53.25,72.46,54.53,53.12
siglip2_sm16_512,continuous,32.8,62.16,64.16,68.2,14,26.22,47.02,87.61,50.2,75.77,49.44,52.51,36.1,64.86,67.52,65.5,14.1,26.22,47.79,84.91,55.49,85.14,57.01,54.97
siglip2_sm14_384,continuous,33.3,62.93,66.39,69.2,14.2,25.62,47.33,91.61,52.03,78.4,53.6,54.06,35.5,66.02,67.89,65.9,14.1,24.59,46.61,89.98,52.64,82.34,53.82,54.49
siglip2_sm16_256,continuous,32,59.85,64.64,67.7,12.3,16.84,39.13,90.42,51.93,64.35,41.16,49.12,36.7,64.09,66.69,62.5,12.4,17.54,37.83,91.6,52.54,74.17,49.39,51.4
dinov3,continuous,,,,,,,,,,,,,,,,,,,,,,,,
