name,probe_with_BN,probe_without_BN,representation_matches_patch_mean
dinov1_vits16,75.87800025939941,75.87800025939941,False
dinov2_small,80.89200258255005,80.91599941253662,False
metaclip_b16_2pt5b,80.21600246429443,80.21199703216553,False
pe_core_b16_224,83.96599888801575,84.02000069618225,False
webssl_mae300m_full2b_224,58.810001611709595,43.1879997253418,True
toklip_s_semantic_256,79.50000166893005,79.40999865531921,True
webssl_mae700m_full2b_224,61.735999584198,39.4679993391037,True
toklip_l_semantic_384,82.64399766921997,82.60999917984009,True
unitok,79.25199866294861,80.41599988937378,True
vqgan_imagenet_f16_16384,1.3939999975264072,1.600000075995922,True
