name,family,MLLM_Avg,qwen3,qwen2_5,smollm2,probe_epoch1,retrieval-ImageNet,CKA,pretrain_loss,A_score
webssl_mae300m_full2b_224,,33.59,,33.59,29.34,49.01,,,,-2.66
dino_vitb8,,31.33,,31.33,,77.57,,,,-2.85
dino_vits8,,30.68,,30.68,,77.08,,,,-2.87
dino_vits16,,29.69,,29.69,28.7,73.38,,,,-2.92
eupe_vit_t,,26.94,,26.94,29.68,62.19,,,,
dinov3_vitl16,,,,,36.59,86.15,,,,
webssl_dino300m_full2b_224,,,,,35.49,78.37,,,,
webssl_dino1b_full2b_224,,,,,39.97,78.78,,,,
dinov3_vitb16,,,,,34.13,83.11,,,,
dinov3_vits16,,,,,25.02,77.03,,,,
