tokenizer,seed,domain,delta_alignment,delta_alignment_ci_low,delta_alignment_ci_high,raw_alignment,target_visual_signal_ratio,target_delta_centroid_norm,target_delta_split_half_cosine,generic_count,target_count
pe_lang_g14_448,0,caption,0.12735881868513843,0.11880341043708142,0.13589880765474333,0.03063844057123788,0.8303940296173096,0.034191425889730453,0.7150349348783493,512,256
pe_lang_g14_448,0,vqa,-0.0074643101999072314,-0.009942808557303806,-0.005086309208417106,0.006988285932720828,0.4400331377983093,0.01195866521447897,-0.016514465026557446,512,256
pe_lang_g14_448,0,ocr,0.005651567342056296,0.0023029373650615527,0.008938292333516527,-0.00884239389324648,0.36990606784820557,0.021528905257582664,0.030784724839031698,512,256
pe_lang_g14_448,0,reasoning,-0.0055807632868436485,-0.00825776366097557,-0.0029401869125990775,-0.005280839425722661,0.18978264927864075,0.025339961051940918,0.48563774675130844,512,256
pe_core_g14_448,0,caption,0.2474946124273174,0.23002223018523865,0.26405861257251784,0.1053421493472797,1.1122870445251465,0.11672317981719971,0.913364115357399,512,256
pe_core_g14_448,0,vqa,0.03727108018210856,0.02985957749598924,0.04504601010539204,0.01757611484345034,0.6751081347465515,0.025630241259932518,-0.5002618864178657,512,256
pe_core_g14_448,0,ocr,0.11367417924338952,0.10173582103573153,0.12537678035116642,9.580486050708714e-05,0.6378036141395569,0.04938725382089615,0.0378693925216794,512,256
pe_core_g14_448,0,reasoning,0.09840232058149923,0.08601666546485376,0.11017095671486458,-0.036274836131951815,0.6366933584213257,0.10440266132354736,0.6613332182168961,512,256
