tokenizer,seed,domain,delta_alignment,delta_alignment_ci_low,delta_alignment_ci_high,raw_alignment,target_visual_signal_ratio,target_delta_centroid_norm,target_delta_split_half_cosine,generic_count,target_count
siglip2_b16_256,0,caption,0.15081891441786865,0.14262343481084372,0.15889130858088266,0.02302964777345551,1.0762569904327393,0.051185350865125656,0.8034614950418473,512,256
siglip2_b16_256,0,vqa,-0.022619808427407406,-0.026480023278566023,-0.018648437070646652,-0.004939906558547591,0.5407661199569702,0.023160580545663834,0.11158661330118776,512,256
siglip2_b16_256,0,ocr,0.00988772681557748,0.0060761288872868136,0.013596672905043758,-0.012252327823716769,0.5125759840011597,0.030059128999710083,0.13078157119452954,512,256
siglip2_b16_256,0,reasoning,0.0007858432342118249,-0.0009875512206008353,0.0026264066589277483,-0.003801838316803696,0.3320026397705078,0.03827505558729172,0.2801591243594885,512,256
mc1_b16_224_2.5b,0,caption,0.10919652414850134,0.10021027604022947,0.11870874831020047,0.03236090512473311,0.6541100740432739,0.02226598747074604,0.6429917275905609,512,256
mc1_b16_224_2.5b,0,vqa,-0.0009894405422983255,-0.003278736638543478,0.001475370061200464,-0.0008240636883556363,0.5097673535346985,0.02156049944460392,0.04743375575635582,512,256
mc1_b16_224_2.5b,0,ocr,-0.006860205967086586,-0.011664611820788196,-0.0020795761017552666,-0.0029841560779004794,0.37931013107299805,0.019265832379460335,-0.11226316336542368,512,256
mc1_b16_224_2.5b,0,reasoning,0.0019501511685575679,0.0006580279250641752,0.003201604763481213,-0.004899639810560075,0.2181607484817505,0.02015739120543003,0.11267550978809596,512,256
raev2,0,caption,0.13411530323355692,0.1261004759594698,0.141265080274502,0.023866666345838894,1.0309648513793945,0.04137982428073883,0.7308266907930374,512,256
raev2,0,vqa,0.00409281598808775,0.0014967459302965835,0.006796742562892176,-0.0005768734870343906,0.6585280895233154,0.021180259063839912,0.04826166275888681,512,256
raev2,0,ocr,0.004536674128530649,0.0011706678775453838,0.007788354069901967,-0.001967643758689519,0.6494381427764893,0.03631725162267685,-0.0165215281303972,512,256
raev2,0,reasoning,0.004813559060039552,0.0022434781110803213,0.007591755546440024,-0.006887511465492935,0.3830391466617584,0.04521052539348602,0.2863170124590397,512,256
