model,status,feature_dim,selected_lambda,selected_C,validation_mAP_11point,test_mAP_11point,selection_converged,final_converged
unitok,complete,1024,100.0,0.01,89.20743959908674,88.76408256453537,True,True
vilau,complete,1024,17.78279410038923,0.056234132519034905,88.17570756165416,88.7280943671598,True,True
metaclip,complete,768,100.0,0.01,89.72486656152287,90.03843299410784,True,True
toklips,complete,1152,17.78279410038923,0.056234132519034905,89.66503537466161,90.32349051030309,True,True
toklipl,complete,1152,5.623413251903491,0.17782794100389226,91.99113039726475,91.85186367239612,True,True
