name,d,ridge_std,ridge_raw,sgd_std,sgd_std_lr,sgd_raw,sgd_raw_lr
I-JEPA,1280,0.6117558594323373,0.613011424651783,0.5716019833202923,0.5,0.595059701967884,0.5
clip_openai__l14,1024,0.7538743899527512,0.7550291988295292,0.7265750692560042,0.5,0.69327108528593,0.5
dino_vitb16,768,0.5428939496277897,0.5408872077780945,0.49887874960981304,0.5,0.5151326527640749,0.5
dino_vitb8,768,0.5875958961733756,0.588996671393584,0.5583418382058043,0.5,0.5532558327110076,0.5
dino_vits16,384,0.4545929923089685,0.45881927312069226,0.438807328107853,0.5,0.4429759090349643,0.5
dino_vits8,384,0.5445121086646905,0.5458343802324512,0.5306832482669965,0.5,0.5269377503620268,0.5
dinov2_base,768,0.7288116899424152,0.7308976613389461,0.7206453663644261,0.5,0.7278324758361645,0.5
dinov2_giant,1536,0.7686398122663272,0.7680334689352275,0.7288213103981992,0.5,0.7503260457461538,0.5
dinov2_large,1024,0.7619537315996924,0.7619056602199665,0.7360192354673916,0.5,0.7477656513536064,0.5
dinov2_small,384,0.6784090288586753,0.677835170439833,0.6733375540360493,0.5,0.6698555949896341,0.5
dinov3,1024,0.7692930644073475,0.770310394442139,0.7514417980763436,0.5,0.7603256281580609,0.5
dinov3_vitb16,768,0.7294616499041612,0.7317954594731432,0.7205461112059272,0.5,0.6749779100365753,0.5
dinov3_vitl16,1024,0.7703373533490162,0.7724692981982695,0.750218455016941,0.5,0.6827956160619363,0.5
dinov3_vits16,384,0.6422200298971836,0.6423970813645307,0.6388610635056821,0.5,0.54741328505363,0.5
eupe_convnext_b,1024,0.7839294984127362,0.7863493900957664,0.7630064177144115,0.5,0.7699990576650283,0.5
eupe_convnext_s,768,0.7610034450896385,0.7609015338926838,0.7480308328926001,0.5,0.7477669909242767,0.5
eupe_convnext_t,768,0.7215256554815251,0.7198404789271969,0.7074899965093941,0.5,0.7072757386524189,0.5
eupe_vit_b,768,0.8092540254817074,0.8074416757756464,0.7958173577152384,0.5,0.7608078354605617,0.5
