name,ridge_std_obj80,ridge_raw_obj80,sgd_std_obj80,sgd_raw_obj80,ridge_std_dom,ridge_raw_dom,sgd_std_dom,sgd_raw_dom
I-JEPA,0.6117558594323373,0.613011424651783,0.5716019833202923,0.595059701967884,0.6750488347731071,0.6716967456446149,0.6112695925778228,0.6449351828766436
clip_openai__l14,0.7538743899527512,0.7550291988295292,0.7265750692560042,0.69327108528593,0.7813717256003816,0.7796010600937858,0.7327434851253671,0.6884840675282446
dino_vitb16,0.5428939496277897,0.5408872077780945,0.498878749609813,0.5151326527640749,0.5482493835368905,0.5452005765227749,0.4605869532447721,0.4885071415543625
dino_vitb8,0.5875958961733756,0.588996671393584,0.5583418382058043,0.5532558327110076,0.6040876465513683,0.6108780236687574,0.5398117020092245,0.5453070560347405
dino_vits16,0.4545929923089685,0.4588192731206922,0.438807328107853,0.4429759090349643,0.4458741087148599,0.4495404871188075,0.4058148410849669,0.4091634901122854
dino_vits8,0.5445121086646905,0.5458343802324512,0.5306832482669965,0.5269377503620268,0.5669170732262412,0.5660709079553091,0.5279575931278355,0.5133868482406352
dinov2_base,0.7288116899424152,0.7308976613389461,0.7206453663644261,0.7278324758361645,0.7784791455074105,0.7821178182002675,0.7538655340775732,0.7575974634301204
dinov2_giant,0.7686398122663272,0.7680334689352275,0.7288213103981992,0.7503260457461538,0.7892598366048016,0.7903765271667622,0.7187712424275456,0.766522668932344
dinov2_large,0.7619537315996924,0.7619056602199665,0.7360192354673916,0.7477656513536064,0.7989399335437437,0.801643615703211,0.7429359570668986,0.7723932304628209
dinov2_small,0.6784090288586753,0.677835170439833,0.6733375540360493,0.6698555949896341,0.7310055159476614,0.7311305374020617,0.7050791415880755,0.7018963684411759
dinov3,0.7692930644073475,0.770310394442139,0.7514417980763436,0.7603256281580609,0.8131227520569796,0.8128511590487824,0.7633932578233814,0.7884297275681623
dinov3_vitb16,0.7294616499041612,0.7317954594731432,0.7205461112059272,0.6749779100365753,0.7915848793689534,0.7912608499135874,0.7658853894426014,0.7163404372939208
dinov3_vitl16,0.7703373533490162,0.7724692981982695,0.750218455016941,0.6827956160619363,0.806972230894298,0.8111229979344956,0.7672591513311413,0.7119112533030898
dinov3_vits16,0.6422200298971836,0.6423970813645307,0.6388610635056821,0.54741328505363,0.6889205900212526,0.6897801659500458,0.6609053961888858,0.552578744702086
eupe_convnext_b,0.7839294984127362,0.7863493900957664,0.7630064177144115,0.7699990576650283,0.8068916505942791,0.8011076431098388,0.778223770906035,0.7879821165218354
eupe_convnext_s,0.7610034450896385,0.7609015338926838,0.7480308328926001,0.7477669909242767,0.7968595138352569,0.7986468735422638,0.7752366176982207,0.7758267825180207
eupe_convnext_t,0.7215256554815251,0.7198404789271969,0.7074899965093941,0.7072757386524189,0.7652265193710482,0.7648957468841422,0.7367989856926662,0.7367303310159897
eupe_vit_b,0.8092540254817074,0.8074416757756464,0.7958173577152384,0.7608078354605617,0.8245497858323216,0.8241184829111333,0.8059243689485249,0.7746729762133187
eupe_vit_s,0.7287858271976769,0.7293012697324679,0.7266216848190985,0.6709028454969245,0.772299334044996,0.7716058397332111,0.7359971821382233,0.672371463111136
