tokenizer,seed,domain,delta_alignment,delta_alignment_ci_low,delta_alignment_ci_high,raw_alignment,target_visual_signal_ratio,target_delta_centroid_norm,target_delta_split_half_cosine,generic_count,target_count
pe_lang_g14_448,0,caption,0.015604894608259201,-0.039736755192279816,0.07094654440879822,0.31227076053619385,0.36013275384902954,0.09507077187299728,nan,2,2
pe_lang_g14_448,0,vqa,-0.00773470476269722,-0.02187938243150711,0.006409972906112671,0.22830747812986374,0.4362407922744751,0.21118132770061493,nan,2,2
pe_lang_g14_448,0,ocr,0.0015558060258626938,-0.03536135330796242,0.038472965359687805,0.14400823414325714,0.3173927664756775,0.2391044944524765,nan,2,2
pe_lang_g14_448,0,reasoning,-0.004872082732617855,-0.007581749930977821,-0.002162415534257889,0.026291523594409227,0.5079706311225891,0.9338220357894897,nan,2,2
pe_core_g14_448,0,caption,-0.07163816876709461,-0.1992359310388565,0.05595959350466728,0.36486051976680756,0.8485946655273438,0.2763952910900116,nan,2,2
pe_core_g14_448,0,vqa,-0.014671500772237778,-0.07166361063718796,0.0423206090927124,0.24074558913707733,1.2352914810180664,0.43264445662498474,nan,2,2
pe_core_g14_448,0,ocr,0.026524342596530914,-0.09666407108306885,0.14971275627613068,0.24075473845005035,1.0244910717010498,0.7038736343383789,nan,2,2
pe_core_g14_448,0,reasoning,0.008931061252951622,-0.009362336248159409,0.027224458754062653,0.16947313398122787,1.57133150100708,1.3093668222427368,nan,2,2
