tokenizer,tokenizer_label,cifar100_full,food101_full,oxford_pets_full,flowers102_full,stanford_cars_full,fgvc_aircraft_full,dtd_full,sun397_full,caltech101_full,voc2007_multilabel,imagenet_1shot,imagenet_2shot,imagenet_4shot,imagenet_8shot,imagenet_16shot,imagenet_full_legacy
unitok,UniTok,86.479997635,92.807918787,93.077135086,97.267848253,92.152714729,52.355235815,81.010639668,82.634484768,95.927041769,88.764082565,40.102000000,52.192000000,62.258000000,67.864000000,71.584000000,78.336000443
vilau,VILA-U,86.390000582,94.225740433,94.412648678,99.268174171,93.458527327,63.846385479,83.351063728,83.411496878,95.714539289,88.728094367,39.104000000,53.342000000,64.234000000,70.138000000,73.614000000,77.843999863
toklips,TokLIP-S,84.350001812,89.398020506,93.322432041,98.211091757,93.408781290,62.856286764,81.010639668,80.666667223,93.182218075,90.323490510,47.014000000,59.154000000,67.722000000,72.392000000,74.970000000,77.719998360
toklipl,TokLIP-L,82.359999418,92.697030306,94.603431225,98.877865076,94.005721807,67.536753416,82.712763548,82.685059309,93.500971794,91.851863672,48.530000000,62.488000000,70.998000000,75.856000000,78.466000000,80.753999949
metaclip,MetaCLIP,86.309999228,91.738611460,93.022620678,97.186535597,92.140281200,62.886285782,81.329786777,82.473564148,97.768723965,90.038432994,33.172000000,45.564000000,56.470000000,63.524000000,68.428000000,77.685999870
