scope,baseline_order,baseline_id,baseline_name,baseline_kind,mllm_scale,gold_metric,rho,pvalue_two_sided_asymptotic,n_tokenizers
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,VQAv2_VAL,0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,VizWiz,0.300000000,0.623837665,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,MSCOCO,0.100000000,0.872888572,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,FLICKR30K,0.900000000,0.037386073,5
core16,6,fgvc_aircraft_full,FGVCAircraft full-shot,full-shot,mix665k,OverallMean,0.300000000,0.623837665,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,MMMU_TEST,0.666885929,0.218893981,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,MMBench,0.153896753,0.804828817,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,VQAv2_VAL,-0.102597835,0.869597921,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,VizWiz,-0.051298918,0.934712848,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,MSCOCO,-0.564288094,0.321723336,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,FLICKR30K,-0.564288094,0.321723336,5
core16,7,dtd_full,DTD full-shot,full-shot,150k,OverallMean,0.051298918,0.934712848,5
core16,7,dtd_full,DTD full-shot,full-shot,mix665k,MMMU_TEST,-0.872081599,0.053854218,5
core16,7,dtd_full,DTD full-shot,full-shot,mix665k,MMBench,-0.153896753,0.804828817,5
core16,7,dtd_full,DTD full-shot,full-shot,mix665k,VQAv2_VAL,0.205195670,0.740581942,5
core16,7,dtd_full,DTD full-shot,full-shot,mix665k,VizWiz,0.205195670,0.740581942,5
core16,7,dtd_full,DTD full-shot,full-shot,mix665k,MSCOCO,0.102597835,0.869597921,5
core16,7,dtd_full,DTD full-shot,full-shot,mix665k,FLICKR30K,0.666885929,0.218893981,5
core16,7,dtd_full,DTD full-shot,full-shot,mix665k,OverallMean,0.205195670,0.740581942,5
core16,8,sun397_full,SUN397 full-shot,full-shot,150k,MMMU_TEST,0.400000000,0.504631575,5
core16,8,sun397_full,SUN397 full-shot,full-shot,150k,MMBench,-0.200000000,0.747060078,5
core16,8,sun397_full,SUN397 full-shot,full-shot,150k,VQAv2_VAL,-0.500000000,0.391002219,5
core16,8,sun397_full,SUN397 full-shot,full-shot,150k,VizWiz,-0.600000000,0.284756980,5
core16,8,sun397_full,SUN397 full-shot,full-shot,150k,MSCOCO,-0.800000000,0.104088039,5
core16,8,sun397_full,SUN397 full-shot,full-shot,150k,FLICKR30K,-0.800000000,0.104088039,5
core16,8,sun397_full,SUN397 full-shot,full-shot,150k,OverallMean,-0.500000000,0.391002219,5
core16,8,sun397_full,SUN397 full-shot,full-shot,mix665k,MMMU_TEST,-0.500000000,0.391002219,5
core16,8,sun397_full,SUN397 full-shot,full-shot,mix665k,MMBench,-0.300000000,0.623837665,5
core16,8,sun397_full,SUN397 full-shot,full-shot,mix665k,VQAv2_VAL,0.100000000,0.872888572,5
core16,8,sun397_full,SUN397 full-shot,full-shot,mix665k,VizWiz,0.100000000,0.872888572,5
core16,8,sun397_full,SUN397 full-shot,full-shot,mix665k,MSCOCO,-0.300000000,0.623837665,5
core16,8,sun397_full,SUN397 full-shot,full-shot,mix665k,FLICKR30K,0.300000000,0.623837665,5
core16,8,sun397_full,SUN397 full-shot,full-shot,mix665k,OverallMean,0.100000000,0.872888572,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,150k,MMMU_TEST,0.700000000,0.188120404,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,150k,MMBench,0.500000000,0.391002219,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,150k,VQAv2_VAL,-0.700000000,0.188120404,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,150k,VizWiz,0.000000000,1.000000000,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,150k,MSCOCO,0.400000000,0.504631575,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,150k,FLICKR30K,0.400000000,0.504631575,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,150k,OverallMean,0.100000000,0.872888572,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,mix665k,MMMU_TEST,-0.200000000,0.747060078,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,mix665k,MMBench,0.500000000,0.391002219,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,mix665k,VQAv2_VAL,0.700000000,0.188120404,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,mix665k,VizWiz,0.700000000,0.188120404,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,mix665k,MSCOCO,-0.500000000,0.391002219,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,mix665k,FLICKR30K,0.000000000,1.000000000,5
core16,9,caltech101_full,Caltech101 full-shot,full-shot,mix665k,OverallMean,0.700000000,0.188120404,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,150k,MMMU_TEST,-0.300000000,0.623837665,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,150k,MMBench,-0.900000000,0.037386073,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,150k,VQAv2_VAL,-0.200000000,0.747060078,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,150k,VizWiz,-0.700000000,0.188120404,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,150k,MSCOCO,-0.900000000,0.037386073,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,150k,FLICKR30K,-0.900000000,0.037386073,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,150k,OverallMean,-0.900000000,0.037386073,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,mix665k,MMMU_TEST,0.300000000,0.623837665,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,mix665k,MMBench,-0.100000000,0.872888572,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,mix665k,VQAv2_VAL,0.000000000,1.000000000,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,mix665k,VizWiz,0.000000000,1.000000000,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,mix665k,MSCOCO,-0.600000000,0.284756980,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,mix665k,FLICKR30K,0.100000000,0.872888572,5
core16,10,imagenet_full_legacy,ImageNet full-shot (DINOv2),full-shot,mix665k,OverallMean,0.000000000,1.000000000,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,150k,MMMU_TEST,-0.700000000,0.188120404,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,150k,MMBench,-0.900000000,0.037386073,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,150k,VQAv2_VAL,0.500000000,0.391002219,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,150k,VizWiz,-0.200000000,0.747060078,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,150k,MSCOCO,-0.600000000,0.284756980,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,150k,FLICKR30K,-0.600000000,0.284756980,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,150k,OverallMean,-0.500000000,0.391002219,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,mix665k,MMMU_TEST,0.500000000,0.391002219,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,mix665k,MMBench,-0.100000000,0.872888572,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,mix665k,VQAv2_VAL,-0.300000000,0.623837665,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,mix665k,VizWiz,-0.300000000,0.623837665,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,mix665k,MSCOCO,-0.100000000,0.872888572,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,mix665k,FLICKR30K,0.100000000,0.872888572,5
core16,11,imagenet_1shot,ImageNet 1-shot,k-shot,mix665k,OverallMean,-0.300000000,0.623837665,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,150k,MMMU_TEST,-0.500000000,0.391002219,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,150k,MMBench,-0.700000000,0.188120404,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,150k,VQAv2_VAL,0.600000000,0.284756980,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,150k,VizWiz,-0.100000000,0.872888572,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,150k,MSCOCO,-0.700000000,0.188120404,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,150k,FLICKR30K,-0.700000000,0.188120404,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,150k,OverallMean,-0.300000000,0.623837665,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,mix665k,MMMU_TEST,0.100000000,0.872888572,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,mix665k,MMBench,-0.300000000,0.623837665,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,mix665k,VQAv2_VAL,-0.400000000,0.504631575,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,mix665k,VizWiz,-0.400000000,0.504631575,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,mix665k,MSCOCO,0.200000000,0.747060078,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,mix665k,FLICKR30K,0.300000000,0.623837665,5
core16,12,imagenet_2shot,ImageNet 2-shot,k-shot,mix665k,OverallMean,-0.400000000,0.504631575,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,150k,MMMU_TEST,-0.500000000,0.391002219,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,150k,MMBench,-0.700000000,0.188120404,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,150k,VQAv2_VAL,0.600000000,0.284756980,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,150k,VizWiz,-0.100000000,0.872888572,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,150k,MSCOCO,-0.700000000,0.188120404,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,150k,FLICKR30K,-0.700000000,0.188120404,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,150k,OverallMean,-0.300000000,0.623837665,5
core16,13,imagenet_4shot,ImageNet 4-shot,k-shot,mix665k,MMMU_TEST,0.100000000,0.872888572,5
