tokenizer,tokenizer_label,selected_iteration,selected_10epoch_top1,last_stored_iteration,last_stored_top1,source_path,selected_10epoch_rank
unitok,UniTok,12499,78.336000443,125000,80.620002747,outputs/vae_linear_probing/unitok/results_eval_linear.json,2.000000000
vilau,VILA-U,12499,77.843999863,118749,83.578002453,outputs/vae_linear_probing/vilau_7b_256_semantic_penultimate/results_eval_linear.json,3.000000000
toklips,TokLIP-S,12500,77.719998360,12500,77.719998360,outputs/vae_linear_probing/toklip_s_semantic_256/results_eval_linear.json,4.000000000
toklipl,TokLIP-L,12500,80.753999949,12500,80.753999949,outputs/vae_linear_probing/toklip_l_semantic_384/results_eval_linear.json,1.000000000
metaclip,MetaCLIP,12499,77.685999870,125000,80.603998899,outputs/vae_linear_probing/metaclip_b16_2pt5b/results_eval_linear.json,5.000000000
