validation_rank,setup_id,model,epoch,iteration,validation_top1_pct,delta_top1_vs_previous_pct,validation_top5_pct,validation_macro_top1_pct,validation_macro_top5_pct,selected_classifier,base_lr,effective_lr,test_top1_pct,test_top5_pct,test_macro_top1_pct,test_macro_top5_pct,output_dir,protocol_fingerprint
1,siglip2_g16_384,siglip2_g16_384,5,325,95.77227830886841,0.09900927543640137,99.27722811698914,95.77227830886841,99.27723407745361,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_g16_384/seed0,906d755626d7c0d8a6fb74ac2254c9000e10aee472a4f38b53a66fedb346cd48
2,siglip2_g16_256,siglip2_g16_256,5,325,95.22772431373596,0.06930828094482422,99.17821884155273,95.22771835327148,99.17821884155273,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_g16_256/seed0,6e9940abcc1f25779981a2dbc76b519efbc5b1b502f9fb83d932c2ebbff7716a
3,siglip2_sm16_512,siglip2_sm16_512,5,325,95.14851570129395,0.08910894393920898,99.16831851005554,95.14851570129395,99.16832447052002,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_512/seed0,73df1d59a5f4213625f624fe9d9838bee0c926d3d80f545f23db756b2078207a
4,siglip2_sm16_384,siglip2_sm16_384,5,325,95.03960609436035,0.0792086124420166,99.09901022911072,95.03960609436035,99.09900426864624,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_384/seed0,2238243a1ae9e6bf690fbe09f0d2453438e5f18cf282ebff201e6b0d9701e0e1
5,siglip2_sm14_384,siglip2_sm14_384,5,325,95.0098991394043,0.03960132598876953,99.1188108921051,95.0098991394043,99.11881685256958,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm14_384/seed0,1dbf332c64b569e3377ea220530b773b5c93c46149f7da427a978c1952aa1f11
6,siglip2_sm16_256,siglip2_sm16_256,5,325,94.71287131309509,0.26732683181762695,99.05940890312195,94.71286535263062,99.05940890312195,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_256/seed0,9281002e2b34aa1f438ee2595fcf1353040d49eab2db9fd56caaabfb424bbba5
7,siglip2_sm14_224,siglip2_sm14_224,5,325,94.5940613746643,0.2376258373260498,99.03960227966309,94.5940613746643,99.03960227966309,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm14_224/seed0,8d3dc47ba6b67ebf95976efa79eb650a04145dbefb4bc8cfdd7e75f11e9d243f
8,siglip2_l16_512,siglip2_l16_512,5,325,94.55445408821106,0.09900927543640137,99.03960227966309,94.55446004867554,99.03960227966309,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_512/seed0,60c005c47ae0cf0a7278bb65495cd3eba452049f82c945621d3cb3485cb7c328
9,siglip2_l16_384,siglip2_l16_384,5,325,94.5049524307251,0.08910894393920898,99.00990128517151,94.5049524307251,99.00990724563599,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_384/seed0,a5475395f47848c59b6b77c396f366c0a347c7da21372b3722d1fd2f851825fb
10,mc2_g14_378,mc2_g14_378,5,325,94.25742626190186,0.19801855087280273,99.14851188659668,94.25742626190186,99.14851784706116,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_g14_378/seed0,9dc5ee31df0f3639f0060c87f9e6fffe4dfaf0b281d5049706faabf0c4620667
