validation_rank,setup_id,model,epoch,iteration,validation_top1_pct,delta_top1_vs_previous_pct,validation_top5_pct,validation_macro_top1_pct,validation_macro_top5_pct,selected_classifier,base_lr,effective_lr,test_top1_pct,test_top5_pct,test_macro_top1_pct,test_macro_top5_pct,output_dir,protocol_fingerprint
1,siglip2_g16_384,siglip2_g16_384,3,195,95.70297002792358,0.17821788787841797,99.30692911148071,95.7029640674591,99.30693507194519,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_g16_384/seed0,906d755626d7c0d8a6fb74ac2254c9000e10aee472a4f38b53a66fedb346cd48
2,siglip2_sm16_512,siglip2_sm16_512,3,195,95.05940675735474,0.3663361072540283,99.1287112236023,95.05940675735474,99.1287112236023,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_512/seed0,73df1d59a5f4213625f624fe9d9838bee0c926d3d80f545f23db756b2078207a
3,siglip2_g16_256,siglip2_g16_256,3,195,95.04950642585754,0.0792086124420166,99.16831851005554,95.04950642585754,99.16831851005554,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_g16_256/seed0,6e9940abcc1f25779981a2dbc76b519efbc5b1b502f9fb83d932c2ebbff7716a
4,siglip2_sm16_384,siglip2_sm16_384,3,195,95.0098991394043,0.17821788787841797,99.08910989761353,95.0098991394043,99.08910989761353,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_384/seed0,2238243a1ae9e6bf690fbe09f0d2453438e5f18cf282ebff201e6b0d9701e0e1
5,siglip2_sm14_384,siglip2_sm14_384,3,195,94.96039748191833,0.21782517433166504,99.13861155509949,94.96039748191833,99.13861155509949,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm14_384/seed0,1dbf332c64b569e3377ea220530b773b5c93c46149f7da427a978c1952aa1f11
6,siglip2_sm16_256,siglip2_sm16_256,3,195,94.53465342521667,0.2970278263092041,99.05940890312195,94.53465938568115,99.05940294265747,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm16_256/seed0,9281002e2b34aa1f438ee2595fcf1353040d49eab2db9fd56caaabfb424bbba5
7,siglip2_l16_512,siglip2_l16_512,3,195,94.4059431552887,0.25742650032043457,99.03960227966309,94.40594911575317,99.03960824012756,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_512/seed0,60c005c47ae0cf0a7278bb65495cd3eba452049f82c945621d3cb3485cb7c328
8,siglip2_sm14_224,siglip2_sm14_224,3,195,94.30692791938782,0.15841126441955566,98.99010062217712,94.3069338798523,98.9901065826416,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_sm14_224/seed0,8d3dc47ba6b67ebf95976efa79eb650a04145dbefb4bc8cfdd7e75f11e9d243f
9,siglip2_l16_384,siglip2_l16_384,3,195,94.27722692489624,0.11880993843078613,98.93069267272949,94.27722692489624,98.93069267272949,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_384/seed0,a5475395f47848c59b6b77c396f366c0a347c7da21372b3722d1fd2f851825fb
10,mc2_g14_378,mc2_g14_378,3,195,93.94059181213379,0.10890960693359375,99.13861155509949,93.94059777259827,99.13861751556396,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_g14_378/seed0,9dc5ee31df0f3639f0060c87f9e6fffe4dfaf0b281d5049706faabf0c4620667
11,siglip2_l16_256,siglip2_l16_256,3,195,93.63366365432739,0.18811821937561035,98.89109134674072,93.63366365432739,98.89109134674072,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_l16_256/seed0,3a8fee4cb32865b6bfa83cf1e0bc5770a9fd971aa00386da61ec8544b55d9786
12,mc2_g14_224,mc2_g14_224,3,195,93.35643649101257,0.4455447196960449,98.86138439178467,93.3564305305481,98.86138439178467,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_g14_224/seed0,8094ad2e870ab1b772f3f2fe10627c6a543d8ee1f71c367f441997fd03c3867e
13,mc2_h14_378,mc2_h14_378,3,195,93.35643649101257,-0.03960132598876953,99.00990128517151,93.35643649101257,99.00990724563599,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_h14_378/seed0,04e098d7353b2e82ec238f6bb9c9cef1ef490cb621ea892fa79259434ef52b43
14,mc1_h14_224_v1.2,mc1_h14_224_v1.2,3,195,93.31682920455933,0.17821788787841797,98.7128734588623,93.31682920455933,98.7128734588623,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_h14_224_v1.2/seed0,cb06cb3a68af5a5de689df20c18cef4cc3bba2e893d12f06a0ffb9edd53e985b
15,siglip2_b16_512,siglip2_b16_512,3,195,92.45544672012329,0.26732683181762695,98.69306683540344,92.45544672012329,98.69306683540344,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_b16_512/seed0,e2b879fc4ba9634d7b48819b9741f23364fdfe63bf61b20fed31c706c83b07d8
16,mc2_l14_224,mc2_l14_224,3,195,92.28712916374207,0.33663511276245117,98.50494861602783,92.28712916374207,98.50495457649231,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_l14_224/seed0,713c706071997dc0b9be77d7c55a26078917b0b1e1cd6cbfb3ee0bacbb1a99e2
17,mc1_g14_224_2.5b,mc1_g14_224_2.5b,3,195,92.27722883224487,0.27722716331481934,98.63366484642029,92.27722883224487,98.63367080688477,classifier_fixed_readout_lr_0_02,0.005,0.02,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_g14_224_2.5b/seed0,c1633aaecab65ddfd39f16577b911f13a47d0e5f9667b5870d6a1b621b0c0de6
18,siglip2_b16_384,siglip2_b16_384,3,195,92.11881160736084,0.14851689338684082,98.58415722846985,92.11881160736084,98.58415722846985,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_b16_384/seed0,84e92d601d36d8f5c877e433e6f58808402621e5346b51340648003c7c8b93b3
19,clip_openai__l14,clip_openai__l14,3,195,91.83168411254883,0.3762364387512207,98.60395789146423,91.83167815208435,98.60395789146423,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/clip_openai__l14/seed0,1afb6160bb34e505d710e30194854839c7d47b524ee6530a54a9b764ab25e98b
20,mc1_h14_224_2.5b,mc1_h14_224_2.5b,3,195,91.30693078041077,0.20791888236999512,98.46534729003906,91.30693078041077,98.46534729003906,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_h14_224_2.5b/seed0,228d425542cbd9db21ef7ffbb6d7a7dbe825fed686600cb495fc9ca3ad99a1ec
21,siglip2_b16_256,siglip2_b16_256,3,195,91.21782183647156,0.5445539951324463,98.34653735160828,91.21782183647156,98.3465313911438,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_b16_256/seed0,cc60ef4476f932d31dede0d99ff0d5ed7a07f8b9644de9844b5d819511e7a9d3
22,siglip2_b16_224,siglip2_b16_224,3,195,90.63366055488586,0.4455447196960449,98.28712940216064,90.63366651535034,98.28713536262512,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_b16_224/seed0,1a07d711d6683ce7564b62e9620a4f9249d9ab8019fc5f1357c70edd278cd79e
23,clip_meta__l14,clip_meta__l14,3,195,90.17821550369263,0.435638427734375,98.22772145271301,90.17821550369263,98.22772741317749,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/clip_meta__l14/seed0,3ef01545bc3cd738fcb4736ed4055a5157bbf7e430dabe87424fdaeb8f676821
24,mc1_l14_224_2.5b,mc1_l14_224_2.5b,3,195,90.17821550369263,0.435638427734375,98.22772145271301,90.17821550369263,98.22772741317749,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_l14_224_2.5b/seed0,cc02a25f5b8ea9410c11dd8a19aa4cd2da30a172258cdec7b47f58defaad65a7
25,mc1_l14_224_400m,mc1_l14_224_400m,3,195,89.702969789505,0.5148530006408691,98.00000190734863,89.702969789505,98.00000190734863,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_l14_224_400m/seed0,0314cd325a2d59537aa8922ed432eaf29d84ce10eb992f1b2fb4522a69702a92
26,mc2_b16_384,mc2_b16_384,3,195,89.66336846351624,0.4059433937072754,98.1386125087738,89.66336846351624,98.1386125087738,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_b16_384/seed0,c498a4541cf91b44e8ccad96d067ffc7d551bb5cab9b9df642bac7e93ee8980d
27,vilau_256,vilau,3,195,88.54455351829529,0.8217811584472656,97.39603996276855,88.54455351829529,97.39603996276855,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/vilau_7b_256_semantic_penultimate/seed0,a4cc01e96cf1dbe75c59371df059af92befc629d111896fea410e512aacd6100
28,unitok_attn,unitok,3,195,88.5346531867981,0.27722716331481934,97.58415818214417,88.5346531867981,97.58416414260864,classifier_fixed_readout_lr_0_04,0.01,0.04,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/unitok/seed0,e0f16c837ff5f3207ce5a9e571aa1066e1dad0929f8f5d7642ae38fcd79071a8
29,mc2_b16_224,mc2_b16_224,3,195,88.08910846710205,0.5346536636352539,97.57425785064697,88.08910846710205,97.5742518901825,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_b16_224/seed0,d9dcaaef19474d7584bef8443ef82797f0f583c15f0cbd830f449293fb5ea0f0
30,mc2_m16_384,mc2_m16_384,3,195,86.58415675163269,0.4653453826904297,97.23762273788452,86.58416271209717,97.23762273788452,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_m16_384/seed0,33402249f175deff850f9fdcfab38e3f19a618aec0d88ac05c6b26e96a3416a3
31,mc2_b32_384,mc2_b32_384,3,195,86.49504780769348,0.5247533321380615,97.21782207489014,86.49505376815796,97.21782207489014,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_b32_384/seed0,8dbd73a1e8c08bfd3f39acf775e7d8a2b08d6130a9f25a128fb710abc4a23dea
32,siglip2_b32_256,siglip2_b32_256,3,195,86.34653687477112,0.4059433937072754,96.89108729362488,86.34653687477112,96.89108729362488,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_b32_256/seed0,03798bffd6adedef18eb3ede9f8b0de5c444c83f198d59805431075e10a5dc53
33,mc1_b16_224_2.5b,mc1_b16_224_2.5b,3,195,85.80198287963867,0.5148530006408691,97.13861346244812,85.80198287963867,97.13860750198364,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_b16_224_2.5b/seed0,dac647a4874b6a280fb2d49aba62d9813ef27e982b07abcc533eddaefd8431de
34,mc1_b16_224_400m,mc1_b16_224_400m,3,195,84.91089344024658,0.6435692310333252,96.8712866306305,84.91089344024658,96.8712866306305,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_b16_224_400m/seed0,83f5b285de4b7be05da3ae7eccff8060fd71fcd38a733b85381ae687f38a2c81
35,mc2_m16_224,mc2_m16_224,3,195,84.47524905204773,0.3861427307128906,96.61386013031006,84.47524905204773,96.61386013031006,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_m16_224/seed0,0313e93942ff7757948d42af8fbad0c7c3066c23431815707dc10bbd8a1b0a30
