validation_rank,setup_id,model,epoch,iteration,validation_top1_pct,delta_top1_vs_previous_pct,validation_top5_pct,validation_macro_top1_pct,validation_macro_top5_pct,selected_classifier,base_lr,effective_lr,test_top1_pct,test_top5_pct,test_macro_top1_pct,test_macro_top5_pct,output_dir,protocol_fingerprint
30,mc2_m16_384,mc2_m16_384,6,390,87.31682896614075,0.22771954536437988,97.53465056419373,87.31683492660522,97.53465056419373,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_m16_384/seed0,33402249f175deff850f9fdcfab38e3f19a618aec0d88ac05c6b26e96a3416a3
31,siglip2_b32_256,siglip2_b32_256,6,390,86.88119053840637,0.06930828094482422,97.27723002433777,86.8811845779419,97.27722406387329,classifier_fixed_readout_lr_0_8,0.2,0.8,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/siglip2_b32_256/seed0,03798bffd6adedef18eb3ede9f8b0de5c444c83f198d59805431075e10a5dc53
32,mc2_b32_384,mc2_b32_384,6,390,86.75247430801392,0.20791888236999512,97.29703068733215,86.75247430801392,97.29703068733215,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_b32_384/seed0,8dbd73a1e8c08bfd3f39acf775e7d8a2b08d6130a9f25a128fb710abc4a23dea
33,mc1_b16_224_2.5b,mc1_b16_224_2.5b,6,390,86.2772285938263,-0.18811821937561035,97.21782207489014,86.27723455429077,97.21782207489014,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_b16_224_2.5b/seed0,dac647a4874b6a280fb2d49aba62d9813ef27e982b07abcc533eddaefd8431de
34,mc1_b16_224_400m,mc1_b16_224_400m,6,390,85.98020076751709,0.43564438819885254,96.93069458007812,85.98020076751709,96.93069458007812,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_b16_224_400m/seed0,83f5b285de4b7be05da3ae7eccff8060fd71fcd38a733b85381ae687f38a2c81
35,toklip_l_384,toklip_l,6,390,85.83168387413025,-0.019800662994384766,96.61386013031006,85.83167791366577,96.61386013031006,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/toklip_l_semantic_384/seed0,2fcda35c9c40189aff8e52e422fedf1e18d748d1094cf270d66631580724a5ea
36,mc2_m16_224,mc2_m16_224,6,390,85.15841364860535,0.16831755638122559,96.92079424858093,85.15841960906982,96.92079424858093,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_m16_224/seed0,0313e93942ff7757948d42af8fbad0c7c3066c23431815707dc10bbd8a1b0a30
37,mc2_m16_224_mt5,mc2_m16_224_mt5,6,390,85.04950404167175,0.35643577575683594,96.79207801818848,85.04950404167175,96.79207801818848,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_m16_224_mt5/seed0,219e6ad0517891cb21159cba5d7516aed3f0cea720f6e2347bee941c5e8649b9
38,mc2_s16_384,mc2_s16_384,6,390,84.05940532684326,0.1386106014251709,96.5643584728241,84.05940532684326,96.5643584728241,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_s16_384/seed0,b7038ad8e8ad930adede6eba1b73dfcebb0147825e1dc568f6c71f69ce6feeb4
39,mc2_b32_224_mt5,mc2_b32_224_mt5,6,390,83.46534371376038,0.009900331497192383,96.14851474761963,83.46534371376038,96.14851474761963,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_b32_224_mt5/seed0,654126921826a0b9d56150c02bdf28cbec3841b95e4750a13ebe07e4279c5866
40,mc2_b32_224,mc2_b32_224,6,390,83.09900760650635,0.10890960693359375,96.16831541061401,83.09900760650635,96.16832137107849,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_b32_224/seed0,980fdd99f517b09863fce2fd7e355ade8ea82bddfb42415909c90f0d417a6166
41,toklip_s_256,toklip_s,6,390,82.20791816711426,0.742572546005249,94.86138820648193,82.20791816711426,94.86138820648193,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/toklip_s_semantic_256/seed0,de65263ebb86482dc3b21d2916b13d45f04ed3bb91c7a268550a08f93e137117
42,mc1_b32_224_2.5b,mc1_b32_224_2.5b,6,390,82.08910822868347,0.5148530006408691,95.5841600894928,82.08911418914795,95.58415412902832,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_b32_224_2.5b/seed0,80ed7dad32db60f2c118734b81380d7850ed3d8eb07d8e0ab662041f39a9b195
43,mc2_s16_224,mc2_s16_224,6,390,81.61386251449585,0.14851689338684082,95.53465247154236,81.61386251449585,95.53465843200684,classifier_fixed_readout_lr_0_2,0.05,0.2,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_s16_224/seed0,090b77bdeb2c62b9411610dccc3a841ed93ecbdbc3f4461a79c83a7c45fd0911
44,mc1_b32_224_400m,mc1_b32_224_400m,6,390,80.60396313667297,-0.19801855087280273,95.15841603279114,80.6039571762085,95.15841603279114,classifier_fixed_readout_lr_0_08,0.02,0.08,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc1_b32_224_400m/seed0,e767859044cd018e7fa8320abe6794fc37882f356929b7dc0c15795a05ea9d88
45,mc2_s16_224_mt5,mc2_s16_224_mt5,6,390,78.95049452781677,0.3069281578063965,94.67326998710632,78.95050048828125,94.67326402664185,classifier_fixed_readout_lr_0_4,0.1,0.4,,,,,/cache/ma-user/VTBenchLab/outputs/food101_linear_probing_dinov2_single_surface/mc2_s16_224_mt5/seed0,ad5763cd8b11776bae77fbd53819d5f9f1f750036dbe0d2dc346cf1b90cb050b
