tokenizer,visual_token_type,model_family,probe_final,probe_history_status,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,qwen3_avg_reported,qwen3_avg_recomputed_from_tasks,qwen25_avg_reported,qwen25_avg_recomputed_from_tasks,mllm_avg_reported_raw,mllm_avg_fair,mllm_status,in_primary_n38,in_qwen3_max_n44,in_epoch_combined_n29,primary_status_or_exclusion
siglip2_b32_256,continuous,SigLIP2,80.02,full_10_epoch,76.9,77.93,78.47,78.95,78.94,79.38,79.67,79.75,79.95,80.02,42.5,42.496364,45.23,45.227273,43.87,43.865,both_complete,1,1,1,included
mc2_m16_384,continuous,MetaCLIP2,79.26,full_10_epoch,76.84,77.5,78.01,78.36,78.49,78.92,79.09,79.21,79.2,79.26,42.93,42.93,44.79,44.786364,43.86,43.86,both_complete,1,1,1,included
mc2_b32_384,continuous,MetaCLIP2,80.11,final_only,,,,,,,,,,,43.37,43.371818,43.07,43.070909,43.22,43.22,both_complete,1,1,0,included
mc2_m16_224_mt5,continuous,MetaCLIP2,77.62,full_10_epoch,74.76,75.56,76.26,76.73,76.75,76.96,77.34,77.38,77.59,77.62,40.42,40.419091,43.25,43.249091,41.84,41.835,both_complete,1,1,1,included
mc2_s16_384,continuous,MetaCLIP2,76.36,full_10_epoch,73.57,74.34,75.22,75.54,75.55,75.81,76.32,76.26,76.34,76.36,40.91,40.913636,41.58,41.578182,41.25,41.245,both_complete,1,1,1,included
mc2_m16_224,continuous,MetaCLIP2,77.58,full_10_epoch,74.88,75.59,76.18,76.62,76.77,77.05,77.23,77.51,77.55,77.58,38.76,38.764545,43.34,43.337273,41.05,41.05,both_complete,1,1,1,included
mc2_s16_224,continuous,MetaCLIP2,74.16,full_10_epoch,71.2,72.01,72.58,73.17,73.19,73.47,73.74,73.97,74.03,74.16,39.77,39.774545,41.05,41.050909,40.41,40.41,both_complete,1,1,1,included
mc2_s16_224_mt5,continuous,MetaCLIP2,72.02,full_10_epoch,68.99,69.87,70.43,70.95,71.23,71.28,71.69,71.8,71.88,72.02,39.12,39.119091,41.35,41.350909,40.24,40.235,both_complete,1,1,1,included
mc2_b32_224,continuous,MetaCLIP2,77.04,final_only,,,,,,,,,,,38.24,38.244545,41.35,41.351818,39.8,39.795,both_complete,1,1,0,included
mc1_b32_224_2.5b,continuous,MetaCLIP1,76.6,full_10_epoch,73.35,74.26,74.97,75.41,75.65,75.93,76.32,76.5,76.56,76.6,38.43,38.431818,39.04,39.037273,38.74,38.735,both_complete,1,1,1,included
mc2_b32_224_mt5,continuous,MetaCLIP2,77.04,final_only,,,,,,,,,,,35.39,35.387273,41.62,41.623636,38.51,38.505,both_complete,1,1,0,included
mc1_b32_224_400m,continuous,MetaCLIP1,75.59,full_10_epoch,72.36,73.47,74.27,74.61,74.74,75.09,75.29,75.33,75.6,75.59,34.69,34.688182,37.63,37.628182,36.16,36.16,both_complete,1,1,1,included
unitok_attn,discrete,UniTok,80.42,full_10_epoch,78.08,78.76,79.24,79.76,79.77,79.86,80.19,80.3,80.34,80.42,41.48,41.476364,,,20.74,,qwen3_only,0,1,0,missing Qwen2.5
vilau_256,discrete,VILA-U,83.48,full_10_epoch,77.51,79.14,80.2,80.86,81.41,81.81,82.21,83,83.28,83.48,39.45,39.447273,,,19.73,,qwen3_only,0,1,0,missing Qwen2.5
toklip_s_256,discrete,TokLIP,79.41,full_10_epoch,71.02,73.12,74.48,75.54,76.14,76.84,77.71,78.76,79.29,79.41,39.02,39.024545,,,19.51,,qwen3_only,0,1,0,missing Qwen2.5
toklip_l_384,discrete,TokLIP,82.61,full_10_epoch,74.32,76.55,77.56,78.71,79.48,80.09,81.05,82.14,82.49,82.61,38.23,38.227273,,,19.12,,qwen3_only,0,1,0,missing Qwen2.5
I-JEPA,continuous,I-JEPA,77.76,final_only,,,,,,,,,,,36.56,35.09,,,18.28,,qwen3_only,0,1,0,missing Qwen2.5
raev2,continuous,RAE-v2,85.38,final_only,,,,,,,,,,,33.52,33.520909,,,16.76,,qwen3_only,0,1,0,missing Qwen2.5
dinov3,continuous,DINOv3,85.52,final_only,,,,,,,,,,,,,,,0,,missing_both,0,0,0,missing Qwen3 and Qwen2.5
