tokenizer,imagenet1k_2shot_top1_mean,voc2007_test_map_11point,cifar100_top1,food101_top1,oxford_pets_top1,flowers102_test_top1,stanford_cars_top1,fgvc_aircraft_top1,dtd_top1,sun397_test_top1,caltech101_top1
unitok,52.388000000,88.764082565,86.479997635,92.807918787,93.077135086,97.267848253,92.152714729,52.355235815,81.010639668,82.634484768,95.927041769
toklips,59.213333333,90.323490510,84.350001812,89.398020506,93.322432041,98.211091757,93.408781290,62.856286764,81.010639668,80.666667223,93.182218075
toklipl,62.490000000,91.851863672,82.359999418,92.697030306,94.603431225,98.877865076,94.005721807,67.536753416,82.712763548,82.685059309,93.500971794
vilau,52.810000000,88.728094367,86.390000582,94.225740433,94.412648678,99.268174171,93.458527327,63.846385479,83.351063728,83.411496878,95.714539289
metaclip,45.863333333,90.038432994,86.309999228,91.738611460,93.022620678,97.186535597,92.140281200,62.886285782,81.329786777,82.473564148,97.768723965
