model,seed,shot,top1,top5,selected_C,selection_top1,converged
unitok,1,1,39.534,67.212,0.01,41.069811733116865,True
unitok,1,2,52.228,79.976,0.01778279410038923,54.29220394017921,True
unitok,1,4,61.932,87.214,0.01333521432163324,63.942833057541606,True
unitok,1,8,68.168,91.05,0.01,70.29566954947079,True
unitok,1,16,71.974,92.79,0.007498942093324558,74.06490992538012,True
toklips,1,1,45.832,71.058,13.33521432163324,47.37347403915202,True
toklips,1,2,58.97,83.438,1.7782794100389228,60.93618283430641,True
toklips,1,4,67.482,88.786,0.31622776601683794,69.50419931936682,True
toklips,1,8,72.316,91.55,0.05623413251903491,74.33107496331449,True
toklips,1,16,75.292,93.234,0.05623413251903491,77.18786100096787,True
toklipl,1,1,47.178,72.704,13.33521432163324,48.564582097474165,True
toklipl,1,2,62.354,85.898,7.498942093324558,63.82028786412314,True
toklipl,1,4,70.994,91.198,4.216965034285822,72.87692403759094,True
toklipl,1,8,75.906,93.796,0.23713737056616552,77.64057572824628,True
toklipl,1,16,78.812,95.152,0.07498942093324558,80.45833463423772,True
vilau,1,1,38.052,60.318,5.623413251903491,39.197289955977396,True
vilau,1,2,52.122,76.05,4.216965034285822,53.82543944550251,True
vilau,1,4,63.448,85.314,4.216965034285822,65.48440475818789,True
vilau,1,8,69.962,90.238,1.0,72.203315745106,True
vilau,1,16,73.996,92.728,0.042169650342858224,76.17081394985794,True
metaclip,1,1,33.122,58.556,0.01,34.334509350900746,True
metaclip,1,2,45.878,73.188,0.5623413251903491,47.4296731087452,True
metaclip,1,4,56.584,82.388,0.5623413251903491,58.13169315308002,True
metaclip,1,8,63.588,87.728,0.1778279410038923,65.8442349121109,True
metaclip,1,16,68.514,90.838,0.01778279410038923,70.53685722314152,True
