model,seed,shot,top1,top5,selected_C,selection_top1,converged
unitok,0,1,40.102,67.142,0.01,41.42808080177339,True
unitok,0,2,52.192,79.75,0.01778279410038923,54.02994161541103,True
unitok,0,4,62.258,87.398,0.01333521432163324,64.20041212651034,True
unitok,0,8,67.864,90.67,0.01,70.03262668206938,True
unitok,0,16,71.584,92.596,0.01,74.0321271347841,True
toklips,0,1,47.014,71.132,13.33521432163324,48.42954822192388,True
toklips,0,2,59.154,82.956,5.623413251903491,61.04780043085953,True
toklips,0,4,67.722,88.896,0.5623413251903491,69.68684629554467,True
toklips,0,8,72.392,91.712,0.1,74.34356364544631,True
toklips,0,16,74.97,93.204,0.05623413251903491,77.15741983827157,True
toklipl,0,1,48.53,73.304,17.78279410038923,49.434887133535234,True
toklipl,0,2,62.488,85.804,4.216965034285822,64.0497673982953,True
toklipl,0,4,70.998,91.222,5.623413251903491,72.77623403790315,True
toklipl,0,8,75.856,93.828,0.23713737056616552,77.5117861937619,True
toklipl,0,16,78.466,95.18,0.1,80.43101564207437,True
vilau,0,1,39.104,60.752,5.623413251903491,39.80221049673733,True
vilau,0,2,53.342,76.268,7.498942093324558,54.76209060538886,True
vilau,0,4,64.234,85.848,3.1622776601683795,65.76071685035437,True
vilau,0,8,70.138,89.884,4.216965034285822,72.16663024134378,True
vilau,0,16,73.614,92.64,0.042169650342858224,75.88123263292641,True
metaclip,0,1,33.172,58.33,0.01,34.04102532080302,True
metaclip,0,2,45.564,72.874,3.1622776601683795,46.98164163726623,True
metaclip,0,4,56.47,82.418,1.0,58.32682881138968,True
metaclip,0,8,63.524,87.454,0.31622776601683794,65.70373723812794,True
metaclip,0,16,68.428,90.694,0.01778279410038923,70.73121233881794,True
