name,mAP_ocr_word,mAP_ocr_num,mAP_ocr_dense,mAP_oi_class
I-JEPA,0.08398481076934296,0.08221084655478579,0.8166690245228783,0.4782908895435875
clip_openai__l14,0.14683549596067966,0.10018195094356924,0.8523595905971015,0.5112971085441974
dino_vitb16,0.09402471436632538,0.06521542107053091,0.8265961525642929,0.4308666072536811
dino_vitb8,0.09740000766893478,0.06825318701782268,0.8233312696098197,0.4395408070482165
dino_vits16,0.08784412449503265,0.05089076016553014,0.8048088954209753,0.36615054105718225
dino_vits8,0.08894045476058939,0.06496160848494809,0.8031468554809665,0.40239005898694
dinov2_base,0.10297129116496827,0.08719016799141906,0.8178678651539795,0.5368246381471341
dinov2_giant,0.1127494443218989,0.0860103437587121,0.8283346757905043,0.5280731194479428
dinov2_large,0.11096775683304624,0.09098857244110917,0.8159045932124925,0.5270450599820986
dinov2_small,0.10063202913287259,0.08255639052069078,0.8183990877704993,0.5135870953413595
dinov3,0.1258550199558604,0.09414702480475366,0.8434499947251192,0.5206905930106062
eupe_convnext_b,0.1397480805024332,0.10276471567592077,0.8999411949062843,0.557962102795243
eupe_convnext_s,0.12862984001332722,0.11386664593788796,0.8992735287552958,0.5597336404603355
eupe_convnext_t,0.12267111549468127,0.12946361500529785,0.8893443919572614,0.5464297968113704
eupe_vit_b,0.1408306469156818,0.10864541070310964,0.8789389928742766,0.5572338711770757
eupe_vit_s,0.1202796413329109,0.11943096325613929,0.8897135431575671,0.5548633003213068
eupe_vit_t,0.10446619205388588,0.10960713165608046,0.8653253290932434,0.5078095402893245
mc1_b16_224_2.5b,0.14837929793390964,0.10334223786892813,0.8503012280793116,0.5164541385345498
mc1_b16_224_400m,0.1445453497508188,0.09625463841390872,0.836149683314874,0.49036016968577967
mc1_b32_224_2.5b,0.11832261302293977,0.11106875592811569,0.8544395489446867,0.5035884877827589
mc1_b32_224_400m,0.10879767883916659,0.09009944135246563,0.8542525236532406,0.5038853144171453
mc1_g14_224_2.5b,0.1601880669585054,0.09834683737505384,0.8621672220255672,0.5099135197909516
mc1_h14_224_2.5b,0.16052545641538252,0.09302936649272552,0.8585504758681232,0.5124615924148407
mc1_h14_224_v1.2,0.16128255714220516,0.09697307695967616,0.8623936009410225,0.5036647853298833
mc1_l14_224_2.5b,0.13728597273152518,0.09047450649031262,0.8532070424621432,0.5071144094270418
mc1_l14_224_400m,0.14013945283968796,0.10071015863000153,0.846440649470009,0.5170499849794453
mc2_b16_224,0.14443881691144,0.09839457976859756,0.8613089583702734,0.5097628528549679
mc2_b16_384,0.15575390778388795,0.10543721889745471,0.8597754088897147,0.5110610394860423
mc2_b32_224,0.11034768592878616,0.10180781213725192,0.8532313490595772,0.48202430839221583
mc2_b32_224_mt5,0.10984892280453536,0.1059276030613794,0.8566246949789573,0.49421016384644534
mc2_b32_384,0.12422200910748372,0.10880861868050813,0.8538174955195382,0.4936843657361479
mc2_g14_224,0.16390683517469232,0.09592332691335073,0.8705177142550653,0.5168081343086885
mc2_g14_378,0.16501453916163988,0.07989809677274917,0.8705307159482896,0.5096696173683325
mc2_h14_378,0.1702178727110203,0.09927519123514293,0.8711402107777737,0.4886141028513137
mc2_l14_224,0.1601798821603349,0.11214281403410725,0.869140887954595,0.5082302755244035
mc2_m16_224,0.14504263760389385,0.09131663039479947,0.8531163331929241,0.49190165875719255
mc2_m16_224_mt5,0.12542818862793098,0.11252358936656762,0.861485438984299,0.48922828612634406
mc2_m16_384,0.14792369491187687,0.08665056605329603,0.8434888693487232,0.49320719639733723
mc2_s16_224,0.13756891397530244,0.09931035264775441,0.858591382655381,0.5008508521719806
mc2_s16_224_mt5,0.1262696317536632,0.09617767747162646,0.8349168470830015,0.5063446835550727
mc2_s16_384,0.13938785698000816,0.09469651815159118,0.8525363855331868,0.5015953597432203
pe_core_b16_224,0.14018762495106665,0.12418239333642551,0.8729353224070866,0.5316995855258211
pe_core_g14_448,0.15538307591818326,0.0819316232480531,0.858288693163167,0.5135545814743936
pe_core_l14_336,0.15529038587588767,0.0968444555840713,0.8610029616515389,0.5284410464461395
pe_core_s16_384,0.11771600616419212,0.10441674495696283,0.8591281498120242,0.5233588837348019
pe_core_t16_384,0.10470203232184122,0.08889432869761879,0.8401943004418879,0.4725502062946894
pe_lang_g14_448,0.16609977392899739,0.13162853038478478,0.8796289126957891,0.5567055686639458
pe_lang_g14_448_tiling,0.1498533825455887,0.12150583758116894,0.8980357835021564,0.5542644613077372
pe_lang_l14_448,0.14540930805106497,0.11770305665517301,0.8874621141899734,0.5567324858983099
pixio_vit1b16,0.11001381713323694,0.07273286401564227,0.837454473056264,0.49839017259032214
pixio_vitb16,0.1009193134864306,0.06771553487258869,0.8418219880297041,0.5005728788492942
pixio_vith16,0.10369379548530981,0.07279200444596774,0.8344631509578502,0.4876324269425233
pixio_vitl16,0.10996270529254877,0.07540498145427393,0.8353170314100004,0.5020972554171619
raev2,0.12756813431297567,0.0994184304953015,0.8587263289143781,0.5236042607045658
siglip2_b16_224,0.16637877135620208,0.0997732748127458,0.8784878769333755,0.5444585205505417
siglip2_b16_256,0.16663359249205834,0.11042665647781133,0.8795786269530712,0.544751044346179
siglip2_b16_384,0.16565781232535795,0.10507742220213795,0.8704541843914381,0.5427983931640562
siglip2_b16_512,0.1578597769565095,0.10701349173435362,0.8601472777639125,0.5470976024660518
siglip2_b32_256,0.13287269482949424,0.12266864166945211,0.8555862646945351,0.5391841587474558
siglip2_g16_256,0.17985846928235769,0.09870252330998049,0.8852228191122103,0.5412000831580115
siglip2_g16_384,0.17398368750364468,0.09847309539579333,0.8764458884488879,0.5441181676429437
siglip2_l16_256,0.18082680734605652,0.10963522242552792,0.8860999590521587,0.5494081271381404
siglip2_l16_384,0.16966470460702743,0.1067849949905413,0.8734047747250859,0.5515516120657122
siglip2_l16_512,0.16785458982446058,0.10951431353544236,0.8621062086089474,0.5496722387930209
siglip2_sm14_224,0.18273101854256676,0.08414747180453128,0.8852192080598463,0.5347684728136768
siglip2_sm14_384,0.16604098311613733,0.09565772306107757,0.8696825698941273,0.5365898793717958
siglip2_sm16_256,0.17727332379221208,0.09737174699048527,0.8836194203307166,0.5373800669323461
siglip2_sm16_384,0.17096051472149137,0.0962663035617521,0.8696234016423908,0.5349719252863819
siglip2_sm16_512,0.1538630602501458,0.09401320528825984,0.8601552314922556,0.5356213118713502
toklip_l_384,0.13968644231548294,0.10079012939506575,0.8725852158652323,0.550158089072352
toklip_s_256,0.12610318681574686,0.10121348995676557,0.8693120812137047,0.5384362796644495
unitok_attn,0.15300235219401878,0.07693604870073706,0.8162610412919424,0.5036804771883537
webssl_dino1b_full2b_224,0.12108418460104745,0.09342793386452214,0.8522522479539207,0.5333439092347111
webssl_dino300m_full2b_224,0.10236348891462099,0.06711281410113201,0.8500110805597785,0.510986237476388
webssl_mae1b_full2b_224,0.09546303636784606,0.05749772911605623,0.8597494304193413,0.39935230351860135
webssl_mae2b_full2b_224,0.0917647547195121,0.07817328142358107,0.8547690880941234,0.4285723469925415
webssl_mae300m_full2b_224,0.09377709501059917,0.059738486869187556,0.8424062119511214,0.404464725476438
webssl_mae3b_full2b_224,0.09832569374242277,0.07192957152793149,0.860533742991624,0.42986012178877037
webssl_mae700m_full2b_224,0.09176426549202674,0.07116977341127743,0.8539095490952736,0.4010628519365135
