name,mAP_obj80,mAP_dom,mAP_small,mAP_word,mAP_word_head,mAP_word_tail
I-JEPA,0.6117558594323373,0.6750488347731071,0.2819839762621006,0.3345980118416745,0.39052163940570067,0.2774881642999122
clip_openai__l14,0.7538743899527512,0.7813717256003816,0.3211654229016234,0.37621453934221527,0.4298588849134295,0.316497986066499
dino_vitb16,0.5428939496277897,0.5482493835368905,0.2496432560076144,0.28453903087744237,0.3532997400301898,0.22793260673310317
dino_vitb8,0.5875958961733756,0.6040876465513683,0.25822012631862246,0.29954147988723745,0.36313069862772457,0.24043395828442995
dino_vits16,0.4545929923089686,0.44587410871485994,0.2183669227646678,0.24859370741176015,0.3161227293491441,0.19164063404038897
dino_vits8,0.5445121086646905,0.5669170732262412,0.24654609232692637,0.2823294409487296,0.3438731048296803,0.22362820863928992
dinov2_base,0.7288116899424152,0.7784791455074105,0.31727031421355073,0.3737371898470822,0.4218987221908141,0.3199527957339114
dinov2_giant,0.7686398122663272,0.7892598366048015,0.33219660116514815,0.3835586106580164,0.4322307308482148,0.330484993490233
dinov2_large,0.7619537315996923,0.7989399335437436,0.32891256208466213,0.3838110084754754,0.42856113012441116,0.3312221105854113
dinov2_small,0.6784090288586753,0.7310055159476614,0.31391159912929634,0.3559224816277199,0.4124014007715106,0.3028489363106651
dinov3,0.7692930644073473,0.8131227520569796,0.32628546772759937,0.3826954957110989,0.4256969824498668,0.3309460607685407
dinov3_vitb16,0.7294616499041612,0.7915848793689534,0.3094585240791011,0.3765728399600349,0.42748549383013296,0.3220819496625363
dinov3_vitl16,0.7703373533490162,0.806972230894298,0.32596934490957064,0.38227500209839327,0.42686902498449164,0.33037979376441645
dinov3_vits16,0.6422200298971835,0.6889205900212526,0.2839642343450021,0.34148897146875495,0.4036042294611039,0.2852735915865194
eupe_convnext_b,0.7839294984127363,0.806891650594279,0.34443032649098193,0.4080262241579851,0.46584895182568475,0.34973212526433795
eupe_convnext_s,0.7610034450896384,0.7968595138352569,0.32902301937227774,0.401717110067151,0.4610183553051852,0.34569556539434493
eupe_convnext_t,0.721525655481525,0.7652265193710482,0.31187296385325053,0.38300664675226853,0.4473719511887932,0.321211306227219
eupe_vit_b,0.8092540254817074,0.8245497858323215,0.3413234980659076,0.4150197227459133,0.4720418009750733,0.3526339638726126
eupe_vit_s,0.7287858271976769,0.772299334044996,0.32077905375386323,0.3855499768042489,0.45141539577949275,0.3248772803462706
eupe_vit_t,0.6023032248375318,0.6464425135462438,0.2779108620865578,0.3390474298783126,0.4153769261963521,0.2763641540382322
mc1_b16_224_2.5b,0.6923980781598653,0.7502762054296717,0.28824765670497,0.3602267546601317,0.41740040497171405,0.30270668515709376
mc1_b16_224_400m,0.6821118578273506,0.7268043449414084,0.2867326314203224,0.3546935673760391,0.4130029127631238,0.3006306228743171
mc1_b32_224_2.5b,0.6378721907878168,0.6847803881768768,0.2649205775843132,0.33965245800826666,0.39761587033623075,0.2842551798782929
mc1_b32_224_400m,0.6460837697838201,0.6886064041039408,0.2751103591182752,0.3349222890587327,0.3920670519796876,0.2792941597221247
mc1_g14_224_2.5b,0.7708755017710566,0.7795908364810842,0.34736916184547595,0.39188885480317853,0.4451789756279299,0.33409292365204446
mc1_h14_224_2.5b,0.7719670029200447,0.7792093981583956,0.36089492250855165,0.3944249397766458,0.4455679931636983,0.33742372526792314
