name,mAP_dom,mAP_obj80,mAP_small,mAP_count2,mAP_crowd,mAP_w_obj,mAP_w_color,mAP_w_rel,mAP_w_num,mAP_w_act
I-JEPA,0.6750488347731072,0.6117558594323373,0.3720851231299409,0.35857373087838845,0.3017579023058231,0.3764670195429023,0.17285669967109393,0.13822338879338802,0.14516002567173825,0.3437828302095804
clip_openai__l14,0.7811191684794603,0.7516659210718452,0.4425966850825673,0.4745538598129714,0.4242072971749153,0.42291291996757197,0.2059685009721995,0.13911393232101166,0.17305115228867118,0.38759850437961574
dino_vitb16,0.5482493835368905,0.5428939496277897,0.3167461867751435,0.30862858408905613,0.26694300833367574,0.321581389349687,0.1694931255131364,0.12813747744093118,0.12251338007103456,0.289498693113598
dino_vitb8,0.6089091279897784,0.5875958961733756,0.34176159815198326,0.34319895772515435,0.314341121862406,0.3445345862335544,0.1696425982143448,0.12772546215245414,0.11320938847459319,0.29969717526462963
dino_vits16,0.44639808566967815,0.4549698928859789,0.2683259544177643,0.25242068265845247,0.20793594719700417,0.28431745571835704,0.14281703618618774,0.11100815163101356,0.09773422215165467,0.2614488127349426
dino_vits8,0.5668441638766483,0.5425744955945243,0.31851006344608823,0.3064435596603558,0.2554786245225652,0.3223009471456641,0.1656266858795371,0.12703546749577146,0.10310339523088578,0.30191194568953966
dinov2_base,0.7784791455074105,0.731150834660337,0.43426224135650004,0.4708547310396209,0.4038534851503136,0.41946279191721214,0.1831887161029776,0.16082888124847872,0.1762000807908969,0.38058885553505173
dinov2_giant,0.7903596848758572,0.7686398122663273,0.46681548961869407,0.5007328415470045,0.438440286499023,0.43175868705138193,0.17548987673637229,0.15816541729848013,0.17978531541698864,0.371134834191706
dinov2_large,0.7989399335437437,0.7619537315996923,0.45953406260102414,0.48360681047451487,0.4204271804379175,0.4314847139467722,0.1792169516308895,0.15922184029535155,0.17147093450682915,0.3707221000940017
dinov2_small,0.729805296757346,0.6772935960662333,0.41340043483675637,0.4335707277980492,0.38850416598144794,0.3998052667413154,0.16343132157800438,0.1483713080730016,0.16273503914449045,0.3505997107229528
dinov3,0.8108471684911067,0.7690554123414598,0.44974002071638325,0.47420265880423773,0.42323247797334884,0.43287869024712583,0.18505695789943732,0.14260660609154166,0.1698405702511792,0.37983224070602084
dinov3_vitb16,0.7916635995059932,0.7315078373799025,0.4414928166229602,0.4608203432291857,0.4302765894873352,0.4250208446928091,0.2022505700740232,0.15413625288173716,0.17817164179271247,0.3676077902918165
dinov3_vitl16,0.810600171980093,0.7705951023071103,0.4545113466977156,0.47275067694023254,0.4295048981017875,0.4322546746977718,0.18892227356988603,0.147871113368222,0.17184707074095798,0.3840370127282815
dinov3_vits16,0.6902767123147873,0.6425325839318894,0.3913507501285915,0.39870122065359453,0.36244066396611363,0.38630090383934407,0.1884271168858562,0.1470366889932464,0.1634848246679732,0.325403985616766
eupe_convnext_b,0.8068916505942791,0.7820525015313393,0.4700276394603338,0.4969109235903981,0.4255416056977261,0.4507853342756403,0.2986526200545163,0.160366235431241,0.22173437276619998,0.4198371957711387
eupe_convnext_s,0.7981036587924942,0.7608349658526085,0.4496220167167914,0.48317550370828316,0.40454976368961626,0.4447809832748903,0.2773294495816079,0.16313778569832313,0.20465658934905634,0.40329440129511085
eupe_convnext_t,0.7644251893025295,0.7215256554815251,0.4237111510482297,0.45213807951483603,0.37909900146922343,0.4281882855386139,0.25600275476129636,0.15353859303972153,0.19391160506466124,0.3702766664152838
eupe_vit_b,0.8245497858323215,0.8091566234353024,0.48381182538866546,0.5125602736399428,0.4398885712088823,0.46106416955710633,0.28377847388922456,0.15563657007250653,0.2454368832955365,0.4224905644884698
eupe_vit_s,0.7718190495970553,0.7271314179692098,0.44310138712686364,0.4665897557251704,0.4108255876460745,0.42830128463884826,0.25276545605997164,0.15513646925667468,0.21617527417380222,0.3726350376171612
